tax_name,tax_rank,count,count_norm,taxon,parent
root,root,81865,1000000,1,0
Bacteria,superkingdom,81865,1000000,2,131567
Campylobacter,genus,125,1526,194,72294
Flavobacterium,genus,92,1123,237,49546
Enterobacteriaceae,family,11215,136993,543,91347
Enterobacter,genus,87,1062,547,543
Enterobacter cloacae,species,10,122,550,354276
Kluyvera,genus,10620,129725,579,543
Morganella,genus,216,2638,581,543
Morganella morganii,species,213,2601,582,581
Bacteroidaceae,family,26704,326195,815,171549
Bacteroides,genus,26693,326061,816,815
Bacteroides uniformis,species,94,1148,820,816
Bacteroides vulgatus,species,7,85,821,816
Parabacteroides distasonis,species,647,7903,823,375288
Campylobacter ureolyticus,species,125,1526,827,194
Porphyromonas,genus,43,525,836,171551
Prevotella,genus,1204,14707,838,171552
Roseburia,genus,2115,25835,841,186803
Fusobacterium,genus,40,488,848,203492
Fusobacterium nucleatum,species,7,85,851,848
Faecalibacterium prausnitzii,species,2020,24674,853,216851
Megasphaera,genus,18,219,906,31977
Bacteroidetes,phylum,34740,424357,976,68336
Proteobacteria,phylum,12753,155780,1224,2
Gammaproteobacteria,class,11215,136993,1236,1224
Firmicutes,phylum,25449,310865,1239,2
Finegoldia magna,species,34,415,1260,150022
Sarcina,genus,616,7524,1266,31979
Micrococcaceae,family,2,24,1268,85006
Streptococcaceae,family,401,4898,1300,186826
Streptococcus,genus,346,4226,1301,1300
Streptococcus parasanguinis,species,36,439,1318,1301
Blautia hansenii,species,121,1478,1322,572511
Enterococcus,genus,576,7035,1350,81852
Enterococcus faecalis,species,518,6327,1351,1350
Enterococcus hirae,species,34,415,1354,1350
Lactococcus,genus,21,256,1357,1300
Lactococcus lactis,species,21,256,1358,1357
Atopobium,genus,4,48,1380,84107
Bacillales,order,15,183,1385,91061
Clostridium,genus,1301,15892,1485,31979
Peptoclostridium difficile,species,148,1807,1496,1481960
Erysipelatoclostridium ramosum,species,81,989,1547,1505663
Lactobacillus,genus,110,1343,1578,33958
Lactobacillus plantarum,species,97,1184,1590,1578
Lactobacillus paracasei,species,6,73,1597,655183
Actinomyces,genus,9,109,1654,2049
Actinomyces odontolyticus,species,9,109,1660,1654
Bifidobacterium,genus,76,928,1678,31953
Actinobacteria,class,1496,18273,1760,201174
Actinomycetales,order,17,207,2037,85003
Actinomycetaceae,family,15,183,2049,85005
Bifidobacterium animalis,species,62,757,28025,1678
Lactobacillus curvatus,species,2,24,28038,1578
Lachnospira,genus,214,2614,28050,186803
Lachnospira pectinoschiza,species,195,2381,28052,28050
Bacteroides eggerthii,species,259,3163,28111,816
Prevotella bivia,species,32,390,28125,838
Betaproteobacteria,class,1088,13290,28216,1224
Deltaproteobacteria,class,325,3969,28221,68525
Veillonella,genus,54,659,29465,31977
Veillonella parvula,species,7,85,29466,29465
Epsilonproteobacteria,class,125,1526,29547,68525
Bifidobacteriaceae,family,76,928,31953,85004
Veillonellaceae,family,92,1123,31977,909929
Clostridiaceae,family,1980,24186,31979,186802
Fusobacteria,phylum,40,488,32066,2
Rothia,genus,2,24,32207,1268
Phascolarctobacterium,genus,857,10468,33024,909930
Phascolarctobacterium faecium,species,835,10199,33025,33024
Peptoniphilus lacrimalis,species,24,293,33031,162289
Anaerococcus lactolyticus,species,9,109,33032,165779
Blautia producta,species,7,85,33035,572511
Anaerococcus vaginalis,species,33,403,33037,165779
Lactobacillaceae,family,151,1844,33958,186826
Bilophila,genus,323,3945,35832,194924
Bilophila wadsworthia,species,300,3664,35833,35832
Dialister,genus,20,244,39948,31977
Rothia mucilaginosa,species,2,24,43675,32207
Granulicatella adiacens,species,5,61,46124,117563
Pseudobutyrivibrio,genus,1022,12483,46205,186803
Bacteroides caccae,species,3730,45562,47678,816
Lactobacillus crispatus,species,5,61,47770,1578
Verrucomicrobiales,order,6435,78605,48461,203494
Flavobacteriaceae,family,92,1123,49546,200644
Chlamydiae/Verrucomicrobia group,superphylum,6435,78605,51290,2
Pantoea,genus,217,2650,53335,543
Enterococcus durans,species,22,268,53345,1350
Blautia hydrogenotrophica,species,13,158,53443,572511
Holdemania,genus,18,219,61170,128827
Holdemania filiformis,species,18,219,61171,61170
Bacteroidetes/Chlorobi group,superphylum,34740,424357,68336,2
delta/epsilon subdivisions,subphylum,450,5496,68525,1224
Campylobacteraceae,family,125,1526,72294,213849
Kluyvera georgiana,species,10620,129725,73098,579
Verrucomicrobia,phylum,6435,78605,74201,51290
Collinsella aerofaciens,species,907,11079,74426,102106
Burkholderiales,order,1088,13290,80840,28216
Enterococcaceae,family,576,7035,81852,186826
Coriobacteriaceae,family,1403,17137,84107,255727
Eggerthella,genus,24,293,84111,84107
Eggerthella lenta,species,24,293,84112,84111
Coriobacteridae,subclass,1403,17137,84998,1760
Coriobacteriales,order,1403,17137,84999,84998
Actinobacteridae,subclass,93,1136,85003,1760
Bifidobacteriales,order,76,928,85004,85003
Actinomycineae,suborder,15,183,85005,2037
Micrococcineae,suborder,2,24,85006,2037
Bacteroides acidifaciens,species,2755,33652,85831,816
Mogibacterium,genus,25,305,86331,543314
Dorea longicatena,species,290,3542,88431,189330
Blautia luti,species,4,48,89014,572511
Bacilli,class,1148,14023,91061,1239
Enterobacteriales,order,11215,136993,91347,1236
Bacteroides sp. AR20,species,707,8636,93974,816
Papillibacter,genus,20,244,100175,541000
Collinsella,genus,1295,15818,102106,84107
Solobacterium moorei,species,2,24,102148,123375
Pseudoflavonifractor capillosus,species,4,48,106588,1017280
Anaerovorax,genus,6,73,109326,543314
Granulicatella,genus,5,61,117563,186828
Flavobacteriia,class,92,1123,117743,976
Oscillospira,genus,750,9161,119852,541000
Solobacterium,genus,2,24,123375,128827
Erysipelotrichaceae,family,149,1820,128827,526525
cellular organisms,no_rank,81865,1000000,131567,1
Finegoldia,genus,34,415,150022,543310
Peptoniphilus,genus,73,891,162289,543310
Planomicrobium,genus,9,109,162291,186818
Anaerococcus,genus,42,513,165779,543310
Roseburia intestinalis,species,22,268,166486,841
Anaerotruncus colihominis,species,12,146,169435,244127
